date,station,District,District_no,index_right,daily_max_aqhi,daily_mean_aqhi,hourly_count,starred_hours,lag1_aqhi,lag2_aqhi,lag3_aqhi,lag7_aqhi,rolling3_mean_aqhi,rolling7_mean_aqhi,rolling14_mean_aqhi,target_next_day,high_risk_next_day,year,month,day,day_of_week,is_weekend,rain_mm,rain_trace_flag,rain_occurrence_flag,daily_mean_wspd,daily_mean_temp,daily_max_temp,daily_min_temp,rain_missing_flag,wind_missing_flag,temp_missing_flag
2023-01-01,Causeway Bay,Wan Chai,B,1,4.0,3.541666667,24,0,,,,,,,,5,0,2023,1,1,6,1,0.0,0,0,9.9,17.8,20.8,15.3,1,1,0
2023-01-02,Causeway Bay,Wan Chai,B,1,5.0,3.625,24,0,4.0,,,,,,,5,0,2023,1,2,0,0,0.0,0,0,9.9,19.4,22.5,17.6,1,1,0
2023-01-03,Causeway Bay,Wan Chai,B,1,5.0,3.416666667,24,0,5.0,4.0,,,,,,5,0,2023,1,3,1,0,0.0,0,0,9.9,17.9,20.1,16.8,1,1,0
2023-01-04,Causeway Bay,Wan Chai,B,1,5.0,3.791666667,24,0,5.0,5.0,4.0,,4.666666667,,,7,1,2023,1,4,2,0,0.0,0,0,9.9,17.8,20.8,16.4,1,1,0
2023-01-05,Causeway Bay,Wan Chai,B,1,7.0,4.666666667,24,0,5.0,5.0,5.0,,5.0,,,5,0,2023,1,5,3,0,0.0,0,0,9.9,18.9,23.6,17.1,1,1,0
2023-01-06,Causeway Bay,Wan Chai,B,1,5.0,4.166666667,24,0,7.0,5.0,5.0,,5.666666667,,,5,0,2023,1,6,4,0,0.0,0,0,9.9,20.0,26.0,15.4,1,1,0
2023-01-07,Causeway Bay,Wan Chai,B,1,5.0,4.083333333,24,0,5.0,7.0,5.0,,5.666666667,,,5,0,2023,1,7,5,1,0.0,0,0,9.9,19.1,21.8,17.3,1,1,0
2023-01-08,Causeway Bay,Wan Chai,B,1,5.0,4.375,24,0,5.0,5.0,7.0,4.0,5.666666667,5.142857143,,5,0,2023,1,8,6,1,0.0,0,0,9.9,19.1,21.1,17.0,1,1,0
2023-01-09,Causeway Bay,Wan Chai,B,1,5.0,4.333333333,24,0,5.0,5.0,5.0,5.0,5.0,5.285714286,,3,0,2023,1,9,0,0,0.0,0,0,9.9,20.1,22.1,18.5,1,1,0
2023-01-10,Causeway Bay,Wan Chai,B,1,3.0,2.791666667,24,1,5.0,5.0,5.0,5.0,5.0,5.285714286,,4,0,2023,1,10,1,0,0.0,0,0,9.9,18.5,19.4,17.8,1,1,0
2023-01-11,Causeway Bay,Wan Chai,B,1,4.0,3.333333333,24,0,3.0,5.0,5.0,5.0,4.333333333,5.0,,4,0,2023,1,11,2,0,0.0,0,0,9.9,18.6,20.3,17.1,1,1,0
2023-01-12,Causeway Bay,Wan Chai,B,1,4.0,3.25,24,0,4.0,3.0,5.0,7.0,4.0,4.857142857,,4,0,2023,1,12,3,0,0.0,0,0,9.9,19.6,21.3,17.8,1,1,0
2023-01-13,Causeway Bay,Wan Chai,B,1,4.0,3.041666667,24,0,4.0,4.0,3.0,5.0,3.666666667,4.428571429,,3,0,2023,1,13,4,0,0.0,0,0,9.9,22.1,24.4,19.9,1,1,0
2023-01-14,Causeway Bay,Wan Chai,B,1,3.0,2.625,24,0,4.0,4.0,4.0,5.0,4.0,4.285714286,,3,0,2023,1,14,5,1,0.0,0,0,9.9,23.1,27.3,19.8,1,1,0
2023-01-15,Causeway Bay,Wan Chai,B,1,3.0,2.541666667,24,0,3.0,4.0,4.0,5.0,3.666666667,4.0,4.571428571,3,0,2023,1,15,6,1,0.0,0,0,9.9,18.7,22.9,13.4,1,1,0
2023-01-16,Causeway Bay,Wan Chai,B,1,3.0,2.666666667,24,7,3.0,3.0,4.0,5.0,3.333333333,3.714285714,4.5,3,0,2023,1,16,0,0,0.0,0,0,9.9,13.0,14.2,12.0,1,1,0
2023-01-17,Causeway Bay,Wan Chai,B,1,3.0,2.75,24,8,3.0,3.0,3.0,3.0,3.0,3.428571429,4.357142857,5,0,2023,1,17,1,0,0.0,0,0,9.9,13.7,15.7,11.6,1,1,0
