date,high_risk_next_day,daily_max_aqhi,daily_mean_aqhi,lag1_aqhi,lag2_aqhi,lag3_aqhi,lag7_aqhi,rolling3_mean_aqhi,rolling7_mean_aqhi,rolling14_mean_aqhi,rain_mm,rain_trace_flag,rain_occurrence_flag,daily_mean_wspd,daily_mean_temp,daily_max_temp,daily_min_temp,month,day_of_week,is_weekend,rain_missing_flag,wind_missing_flag,temp_missing_flag,District,station,pred,prob,error_type
2025-09-05,0,3.0,2.541666667,3.0,3.0,3.0,3.0,3.0,3.0,3.285714286,0.0,0,0,9.8,30.3,34.4,27.6,9,4,0,1,1,0,Wan Chai,Causeway Bay,0,0.25663433872714264,correct
2025-09-06,0,5.0,3.125,3.0,3.0,3.0,3.0,3.0,3.0,3.214285714,0.0,0,0,9.8,30.4,34.2,27.0,9,5,1,1,1,0,Wan Chai,Causeway Bay,1,0.6099263917963076,false_positive
2025-09-07,0,3.0,2.375,5.0,3.0,3.0,3.0,3.666666667,3.285714286,3.285714286,0.0,0,0,9.8,28.4,30.9,25.9,9,6,1,1,1,0,Wan Chai,Causeway Bay,0,0.2364413121022124,correct
2025-09-08,0,3.0,2.458333333,3.0,5.0,3.0,3.0,3.666666667,3.285714286,3.285714286,0.0,0,0,9.8,27.6,28.7,24.8,9,0,0,1,1,0,Wan Chai,Causeway Bay,0,0.14508320675764336,correct
2025-09-09,0,3.0,2.625,3.0,3.0,5.0,3.0,3.666666667,3.285714286,3.285714286,0.0,0,0,9.8,29.0,30.3,27.9,9,1,0,1,1,0,Wan Chai,Causeway Bay,0,0.19440359491307113,correct
2025-09-10,0,3.0,2.625,3.0,3.0,3.0,3.0,3.0,3.285714286,3.285714286,0.0,0,0,9.8,29.3,32.3,27.9,9,2,0,1,1,0,Wan Chai,Causeway Bay,0,0.1443332656789924,correct
2025-09-11,0,3.0,2.625,3.0,3.0,3.0,3.0,3.0,3.285714286,3.214285714,0.0,0,0,9.8,29.7,34.4,26.3,9,3,0,1,1,0,Wan Chai,Causeway Bay,0,0.29745355433681664,correct
2025-09-12,0,3.0,2.5,3.0,3.0,3.0,3.0,3.0,3.285714286,3.142857143,0.0,0,0,9.8,29.7,33.9,26.6,9,4,0,1,1,0,Wan Chai,Causeway Bay,0,0.2933697296268397,correct
2025-09-13,0,3.0,2.625,3.0,3.0,3.0,5.0,3.0,3.285714286,3.142857143,0.0,0,0,9.8,29.6,34.2,26.5,9,5,1,1,1,0,Wan Chai,Causeway Bay,0,0.23136535220001161,correct
2025-09-14,0,3.0,2.541666667,3.0,3.0,3.0,3.0,3.0,3.0,3.142857143,0.0,0,0,9.8,29.2,33.6,25.7,9,6,1,1,1,0,Wan Chai,Causeway Bay,0,0.33037501796795055,correct
