WeatherStationName_en,WeatherStationName_uc,GeometryLongitude,GeometryLatitude,DailyMaximumTemperature_AllYear_url,DailyMeanTemperature_AllYear_url,DailyMinimumTemperature_AllYear_url
Cheung Chau,長洲,114.0266667,22.2011111,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_CCH_MAXT_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_CCH_TEMP_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_CCH_MINT_ALL.csv
Clear Water Bay,清水灣,114.2997222,22.2633333,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_CWB_MAXT_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_CWB_TEMP_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_CWB_MINT_ALL.csv
Hong Kong International Airport,香港國際機場,113.9219444,22.3094444,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_HKA_MAXT_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_HKA_TEMP_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_HKA_MINT_ALL.csv
Hong Kong Observatory,香港天文台,114.1741667,22.3019444,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_HKO_MAXT_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_HKO_TEMP_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_HKO_MINT_ALL.csv
Hong Kong Park,香港公園,114.1622222,22.2783333,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_HKP_MAXT_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_HKP_TEMP_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_HKP_MINT_ALL.csv
Wong Chuk Hang,黃竹坑,114.1736111,22.2477778,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_HKS_MAXT_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_HKS_TEMP_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_HKS_MINT_ALL.csv
Happy Valley,跑馬地,114.1836111,22.2705556,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_HPV_MAXT_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_HPV_TEMP_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_HPV_MINT_ALL.csv
Tseung Kwan O,將軍澳,114.2555556,22.3158333,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_JKB_MAXT_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_JKB_TEMP_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_JKB_MINT_ALL.csv
Kowloon City,九龍城,114.1847222,22.335,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_KLT_MAXT_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_KLT_TEMP_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_KLT_MINT_ALL.csv
King's Park,京士柏,114.1727778,22.3119444,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_KP_MAXT_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_KP_TEMP_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_KP_MINT_ALL.csv
Kau Sai Chau,滘西洲,114.3125,22.3702778,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_KSC_MAXT_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_KSC_TEMP_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_KSC_MINT_ALL.csv
Kwun Tong,觀塘,114.2247222,22.3186111,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_KTG_MAXT_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_KTG_TEMP_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_KTG_MINT_ALL.csv
Lau Fau Shan,流浮山,113.9836111,22.4688889,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_LFS_MAXT_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_LFS_TEMP_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_LFS_MINT_ALL.csv
Ngong Ping,昂坪,113.912778,22.2586111,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_NGP_MAXT_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_NGP_TEMP_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_NGP_MINT_ALL.csv
Peng Chau,坪洲,114.0433333,22.2911111,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_PEN_MAXT_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_PEN_TEMP_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_PEN_MINT_ALL.csv
Tai Mei Tuk,大美督,114.2375,22.4752778,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_PLC_MAXT_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_PLC_TEMP_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_PLC_MINT_ALL.csv
Kai Tak Runway Park,啟德跑道公園,114.2169444,22.3047222,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_SE1_MAXT_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_SE1_TEMP_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_SE1_MINT_ALL.csv
Shek Kong,石崗,114.0847222,22.4361111,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_SEK_MAXT_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_SEK_TEMP_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_SEK_MINT_ALL.csv
Sha Tin,沙田,114.21,22.4025,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_SHA_MAXT_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_SHA_TEMP_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_SHA_MINT_ALL.csv
Sai Kung,西貢,114.2744444,22.3755556,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_SKG_MAXT_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_SKG_TEMP_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_SKG_MINT_ALL.csv
Shau Kei Wan,筲箕灣,114.2361111,22.2816667,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_SKW_MAXT_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_SKW_TEMP_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_SKW_MINT_ALL.csv
Sheung Shui,上水,114.1111111,22.5019444,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_SSH_MAXT_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_SSH_TEMP_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_SSH_MINT_ALL.csv
Sham Shui Po,深水埗,114.1369444,22.3358333,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_SSP_MAXT_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_SSP_TEMP_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_SSP_MINT_ALL.csv
Stanley,赤柱,114.2186111,22.2141667,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_STY_MAXT_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_STY_TEMP_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_STY_MINT_ALL.csv
Tate's Cairn,大老山,114.2177778,22.3577778,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_TC_MAXT_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_TC_TEMP_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_TC_MINT_ALL.csv
Ta Kwu Ling,打鼓嶺,114.1566667,22.5286111,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_TKL_MAXT_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_TKL_TEMP_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_TKL_MINT_ALL.csv
Tai Mo Shan,大帽山,114.1244444,22.4105556,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_TMS_MAXT_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_TMS_TEMP_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_TMS_MINT_ALL.csv
Tai Po (Yuan Chau Tsai Park),大埔（元洲仔公園）,114.1771,22.44822,,,
Tuen Mun Children and Juvenile Home,屯門兒童及青少年院,113.9641667,22.3858333,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_TU1_MAXT_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_TU1_TEMP_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_TU1_MINT_ALL.csv
Tsuen Wan Shing Mun Valley,荃灣城門谷,114.1266667,22.3755556,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_TW_MAXT_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_TW_TEMP_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_TW_MINT_ALL.csv
Tsuen Wan,荃灣,114.1077778,22.3836111,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_TWN_MAXT_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_TWN_TEMP_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_TWN_MINT_ALL.csv
New Tsing Yi Station,新青衣站,114.11,22.34416667,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_TY1_MAXT_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_TY1_TEMP_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_TY1_MINT_ALL.csv
Pak Tam Chung (Tsak Yue Wu),北潭涌(鯽魚湖),114.3230556,22.4027778,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_TYW_MAXT_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_TYW_TEMP_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_TYW_MINT_ALL.csv
The Peak,山頂,114.155,22.2641667,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_VP1_MAXT_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_VP1_TEMP_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_VP1_MINT_ALL.csv
Waglan Island,橫瀾島,114.3033333,22.1822222,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_WGL_MAXT_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_WGL_TEMP_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_WGL_MINT_ALL.csv
Wetland Park,濕地公園,114.0088889,22.4666667,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_WLP_MAXT_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_WLP_TEMP_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_WLP_MINT_ALL.csv
Wong Tai Sin,黃大仙,114.2052778,22.3394444,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_WTS_MAXT_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_WTS_TEMP_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_WTS_MINT_ALL.csv
Yuen Long Park,元朗公園,114.0183333,22.4408333,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_YLP_MAXT_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_YLP_TEMP_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_YLP_MINT_ALL.csv
Tai Po (Conservation Studies Centre),大埔（自然環境保護研究中心）,114.1788889,22.4461111,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_TPO_MAXT_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_TPO_TEMP_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_TPO_MINT_ALL.csv
