date,year,month,day,day_of_week,is_weekend,WeatherStationName_en,rain_mm_imputed,rain_trace_flag,rain_occurrence_flag,index_right,District_no,District
2023/1/1,2023,1,1,Sunday,1,Hong Kong International Airport,0,0,0,17,T,Islands
2023/1/2,2023,1,2,Monday,0,Hong Kong International Airport,0.025,1,1,17,T,Islands
2023/1/3,2023,1,3,Tuesday,0,Hong Kong International Airport,0.025,1,1,17,T,Islands
2023/1/4,2023,1,4,Wednesday,0,Hong Kong International Airport,0.025,1,1,17,T,Islands
2023/1/5,2023,1,5,Thursday,0,Hong Kong International Airport,0.025,1,1,17,T,Islands
2023/1/6,2023,1,6,Friday,0,Hong Kong International Airport,0,0,0,17,T,Islands
2023/1/7,2023,1,7,Saturday,1,Hong Kong International Airport,0,0,0,17,T,Islands
2023/1/8,2023,1,8,Sunday,1,Hong Kong International Airport,0.025,1,1,17,T,Islands
2023/1/9,2023,1,9,Monday,0,Hong Kong International Airport,0.025,1,1,17,T,Islands
2023/1/10,2023,1,10,Tuesday,0,Hong Kong International Airport,5.6,0,1,17,T,Islands
2023/1/11,2023,1,11,Wednesday,0,Hong Kong International Airport,2.7,0,1,17,T,Islands
2023/1/12,2023,1,12,Thursday,0,Hong Kong International Airport,0.025,1,1,17,T,Islands
2023/1/13,2023,1,13,Friday,0,Hong Kong International Airport,1.2,0,1,17,T,Islands
2023/1/14,2023,1,14,Saturday,1,Hong Kong International Airport,0.1,0,1,17,T,Islands
2023/1/15,2023,1,15,Sunday,1,Hong Kong International Airport,0.025,1,1,17,T,Islands
2023/1/16,2023,1,16,Monday,0,Hong Kong International Airport,0,0,0,17,T,Islands
2023/1/17,2023,1,17,Tuesday,0,Hong Kong International Airport,0.025,1,1,17,T,Islands
2023/1/18,2023,1,18,Wednesday,0,Hong Kong International Airport,0,0,0,17,T,Islands
2023/1/19,2023,1,19,Thursday,0,Hong Kong International Airport,0,0,0,17,T,Islands
2023/1/20,2023,1,20,Friday,0,Hong Kong International Airport,0.025,1,1,17,T,Islands
2023/1/21,2023,1,21,Saturday,1,Hong Kong International Airport,0.025,1,1,17,T,Islands
2023/1/22,2023,1,22,Sunday,1,Hong Kong International Airport,0.025,1,1,17,T,Islands
2023/1/23,2023,1,23,Monday,0,Hong Kong International Airport,0,0,0,17,T,Islands
2023/1/24,2023,1,24,Tuesday,0,Hong Kong International Airport,0.025,1,1,17,T,Islands
2023/1/25,2023,1,25,Wednesday,0,Hong Kong International Airport,0,0,0,17,T,Islands
2023/1/26,2023,1,26,Thursday,0,Hong Kong International Airport,0,0,0,17,T,Islands
2023/1/27,2023,1,27,Friday,0,Hong Kong International Airport,0.025,1,1,17,T,Islands
2023/1/28,2023,1,28,Saturday,1,Hong Kong International Airport,0,0,0,17,T,Islands
2023/1/29,2023,1,29,Sunday,1,Hong Kong International Airport,0,0,0,17,T,Islands
2023/1/30,2023,1,30,Monday,0,Hong Kong International Airport,0,0,0,17,T,Islands
2023/1/31,2023,1,31,Tuesday,0,Hong Kong International Airport,0,0,0,17,T,Islands
2023/2/1,2023,2,1,Wednesday,0,Hong Kong International Airport,0,0,0,17,T,Islands
2023/2/2,2023,2,2,Thursday,0,Hong Kong International Airport,0,0,0,17,T,Islands
