date,year,month,day,day_of_week,is_weekend,WeatherStationName_en,daily_mean_wspd,index_right,District_no,District
2023/1/1,2023,1,1,Sunday,1,Sha Chau,21.3,10,L,Tuen Mun
2023/1/2,2023,1,2,Monday,0,Sha Chau,20.1,10,L,Tuen Mun
2023/1/3,2023,1,3,Tuesday,0,Sha Chau,19.2,10,L,Tuen Mun
2023/1/4,2023,1,4,Wednesday,0,Sha Chau,15.5,10,L,Tuen Mun
2023/1/5,2023,1,5,Thursday,0,Sha Chau,9.5,10,L,Tuen Mun
2023/1/6,2023,1,6,Friday,0,Sha Chau,13.5,10,L,Tuen Mun
2023/1/7,2023,1,7,Saturday,1,Sha Chau,14,10,L,Tuen Mun
2023/1/8,2023,1,8,Sunday,1,Sha Chau,14.3,10,L,Tuen Mun
2023/1/9,2023,1,9,Monday,0,Sha Chau,16,10,L,Tuen Mun
2023/1/10,2023,1,10,Tuesday,0,Sha Chau,15.4,10,L,Tuen Mun
2023/1/11,2023,1,11,Wednesday,0,Sha Chau,11.3,10,L,Tuen Mun
2023/1/12,2023,1,12,Thursday,0,Sha Chau,22.9,10,L,Tuen Mun
2023/1/13,2023,1,13,Friday,0,Sha Chau,14.9,10,L,Tuen Mun
2023/1/14,2023,1,14,Saturday,1,Sha Chau,9.1,10,L,Tuen Mun
2023/1/15,2023,1,15,Sunday,1,Sha Chau,25.1,10,L,Tuen Mun
2023/1/16,2023,1,16,Monday,0,Sha Chau,27.1,10,L,Tuen Mun
2023/1/17,2023,1,17,Tuesday,0,Sha Chau,22.5,10,L,Tuen Mun
2023/1/18,2023,1,18,Wednesday,0,Sha Chau,21,10,L,Tuen Mun
2023/1/19,2023,1,19,Thursday,0,Sha Chau,12.8,10,L,Tuen Mun
2023/1/20,2023,1,20,Friday,0,Sha Chau,14.3,10,L,Tuen Mun
2023/1/21,2023,1,21,Saturday,1,Sha Chau,18,10,L,Tuen Mun
2023/1/22,2023,1,22,Sunday,1,Sha Chau,9.8,10,L,Tuen Mun
2023/1/23,2023,1,23,Monday,0,Sha Chau,7.5,10,L,Tuen Mun
2023/1/24,2023,1,24,Tuesday,0,Sha Chau,42,10,L,Tuen Mun
2023/1/25,2023,1,25,Wednesday,0,Sha Chau,20.9,10,L,Tuen Mun
2023/1/26,2023,1,26,Thursday,0,Sha Chau,9.8,10,L,Tuen Mun
2023/1/27,2023,1,27,Friday,0,Sha Chau,36.4,10,L,Tuen Mun
2023/1/28,2023,1,28,Saturday,1,Sha Chau,27.3,10,L,Tuen Mun
2023/1/29,2023,1,29,Sunday,1,Sha Chau,17.1,10,L,Tuen Mun
2023/1/30,2023,1,30,Monday,0,Sha Chau,12.6,10,L,Tuen Mun
2023/1/31,2023,1,31,Tuesday,0,Sha Chau,14.6,10,L,Tuen Mun
2023/2/1,2023,2,1,Wednesday,0,Sha Chau,12.5,10,L,Tuen Mun
2023/2/2,2023,2,2,Thursday,0,Sha Chau,23.2,10,L,Tuen Mun
2023/2/3,2023,2,3,Friday,0,Sha Chau,17,10,L,Tuen Mun
2023/2/4,2023,2,4,Saturday,1,Sha Chau,19.2,10,L,Tuen Mun
2023/2/5,2023,2,5,Sunday,1,Sha Chau,12.8,10,L,Tuen Mun
2023/2/6,2023,2,6,Monday,0,Sha Chau,7.9,10,L,Tuen Mun
2023/2/7,2023,2,7,Tuesday,0,Sha Chau,8.8,10,L,Tuen Mun
2023/2/8,2023,2,8,Wednesday,0,Sha Chau,21.1,10,L,Tuen Mun
2023/2/9,2023,2,9,Thursday,0,Sha Chau,17.1,10,L,Tuen Mun
2023/2/10,2023,2,10,Friday,0,Sha Chau,9.5,10,L,Tuen Mun
2023/2/11,2023,2,11,Saturday,1,Sha Chau,26.8,10,L,Tuen Mun
2023/2/12,2023,2,12,Sunday,1,Sha Chau,24.8,10,L,Tuen Mun
2023/2/13,2023,2,13,Monday,0,Sha Chau,16.2,10,L,Tuen Mun
