date,station,daily_max_aqhi,daily_mean_aqhi,hourly_count,starred_hours,lag1_aqhi,lag2_aqhi,lag3_aqhi,lag7_aqhi,rolling3_mean_aqhi,rolling7_mean_aqhi,rolling14_mean_aqhi,target_next_day,high_risk_next_day,year,month,day,day_of_week,is_weekend,index_right,District_no,District
2023/1/1,Causeway Bay,4,3.541666667,24,0,,,,,,,,5,0,2023,1,1,6,1,1,B,Wan Chai
2023/1/2,Causeway Bay,5,3.625,24,0,4,,,,,,,5,0,2023,1,2,0,0,1,B,Wan Chai
2023/1/3,Causeway Bay,5,3.416666667,24,0,5,4,,,,,,5,0,2023,1,3,1,0,1,B,Wan Chai
2023/1/4,Causeway Bay,5,3.791666667,24,0,5,5,4,,4.666666667,,,7,1,2023,1,4,2,0,1,B,Wan Chai
2023/1/5,Causeway Bay,7,4.666666667,24,0,5,5,5,,5,,,5,0,2023,1,5,3,0,1,B,Wan Chai
2023/1/6,Causeway Bay,5,4.166666667,24,0,7,5,5,,5.666666667,,,5,0,2023,1,6,4,0,1,B,Wan Chai
2023/1/7,Causeway Bay,5,4.083333333,24,0,5,7,5,,5.666666667,,,5,0,2023,1,7,5,1,1,B,Wan Chai
2023/1/8,Causeway Bay,5,4.375,24,0,5,5,7,4,5.666666667,5.142857143,,5,0,2023,1,8,6,1,1,B,Wan Chai
2023/1/9,Causeway Bay,5,4.333333333,24,0,5,5,5,5,5,5.285714286,,3,0,2023,1,9,0,0,1,B,Wan Chai
2023/1/10,Causeway Bay,3,2.791666667,24,1,5,5,5,5,5,5.285714286,,4,0,2023,1,10,1,0,1,B,Wan Chai
2023/1/11,Causeway Bay,4,3.333333333,24,0,3,5,5,5,4.333333333,5,,4,0,2023,1,11,2,0,1,B,Wan Chai
2023/1/12,Causeway Bay,4,3.25,24,0,4,3,5,7,4,4.857142857,,4,0,2023,1,12,3,0,1,B,Wan Chai
2023/1/13,Causeway Bay,4,3.041666667,24,0,4,4,3,5,3.666666667,4.428571429,,3,0,2023,1,13,4,0,1,B,Wan Chai
2023/1/14,Causeway Bay,3,2.625,24,0,4,4,4,5,4,4.285714286,,3,0,2023,1,14,5,1,1,B,Wan Chai
2023/1/15,Causeway Bay,3,2.541666667,24,0,3,4,4,5,3.666666667,4,4.571428571,3,0,2023,1,15,6,1,1,B,Wan Chai
2023/1/16,Causeway Bay,3,2.666666667,24,7,3,3,4,5,3.333333333,3.714285714,4.5,3,0,2023,1,16,0,0,1,B,Wan Chai
2023/1/17,Causeway Bay,3,2.75,24,8,3,3,3,3,3,3.428571429,4.357142857,5,0,2023,1,17,1,0,1,B,Wan Chai
2023/1/18,Causeway Bay,5,3.583333333,24,4,3,3,3,4,3,3.428571429,4.214285714,5,0,2023,1,18,2,0,1,B,Wan Chai
2023/1/19,Causeway Bay,5,4.041666667,24,0,5,3,3,4,3.666666667,3.571428571,4.214285714,4,0,2023,1,19,3,0,1,B,Wan Chai
2023/1/20,Causeway Bay,4,3.791666667,24,0,5,5,3,4,4.333333333,3.714285714,4.071428571,4,0,2023,1,20,4,0,1,B,Wan Chai
2023/1/21,Causeway Bay,4,3.958333333,24,0,4,5,5,3,4.666666667,3.714285714,4,4,0,2023,1,21,5,1,1,B,Wan Chai
2023/1/22,Causeway Bay,4,3.208333333,24,0,4,4,5,3,4.333333333,3.857142857,3.928571429,4,0,2023,1,22,6,1,1,B,Wan Chai
2023/1/23,Causeway Bay,4,3.333333333,24,0,4,4,4,3,4,4,3.857142857,4,0,2023,1,23,0,0,1,B,Wan Chai
2023/1/24,Causeway Bay,4,3.291666667,24,1,4,4,4,3,4,4.142857143,3.785714286,5,0,2023,1,24,1,0,1,B,Wan Chai
2023/1/25,Causeway Bay,5,4.125,24,0,4,4,4,5,4,4.285714286,3.857142857,5,0,2023,1,25,2,0,1,B,Wan Chai
2023/1/26,Causeway Bay,5,3.75,24,0,5,4,4,5,4.333333333,4.285714286,3.928571429,4,0,2023,1,26,3,0,1,B,Wan Chai
2023/1/27,Causeway Bay,4,3.583333333,24,0,5,5,4,4,4.666666667,4.285714286,4,6,0,2023,1,27,4,0,1,B,Wan Chai
2023/1/28,Causeway Bay,6,4.75,24,0,4,5,5,4,4.666666667,4.285714286,4,5,0,2023,1,28,5,1,1,B,Wan Chai
2023/1/29,Causeway Bay,5,4.583333333,24,0,6,4,5,4,5,4.571428571,4.214285714,5,0,2023,1,29,6,1,1,B,Wan Chai
2023/1/30,Causeway Bay,5,4.291666667,24,0,5,6,4,4,5,4.714285714,4.357142857,5,0,2023,1,30,0,0,1,B,Wan Chai
