date,station,daily_max_aqhi,daily_mean_aqhi,hourly_count,starred_hours,lag1_aqhi,lag2_aqhi,lag3_aqhi,lag7_aqhi,rolling3_mean_aqhi,rolling7_mean_aqhi,rolling14_mean_aqhi,target_next_day,high_risk_next_day,year,month,day,day_of_week,is_weekend
2023-01-01,Causeway Bay,4.0,3.5416666666666665,24,0,,,,,,,,5.0,0.0,2023,1,1,6,1
2023-01-02,Causeway Bay,5.0,3.625,24,0,4.0,,,,,,,5.0,0.0,2023,1,2,0,0
2023-01-03,Causeway Bay,5.0,3.4166666666666665,24,0,5.0,4.0,,,,,,5.0,0.0,2023,1,3,1,0
2023-01-04,Causeway Bay,5.0,3.7916666666666665,24,0,5.0,5.0,4.0,,4.666666666666667,,,7.0,1.0,2023,1,4,2,0
2023-01-05,Causeway Bay,7.0,4.666666666666667,24,0,5.0,5.0,5.0,,5.0,,,5.0,0.0,2023,1,5,3,0
2023-01-06,Causeway Bay,5.0,4.166666666666667,24,0,7.0,5.0,5.0,,5.666666666666667,,,5.0,0.0,2023,1,6,4,0
2023-01-07,Causeway Bay,5.0,4.083333333333333,24,0,5.0,7.0,5.0,,5.666666666666667,,,5.0,0.0,2023,1,7,5,1
2023-01-08,Causeway Bay,5.0,4.375,24,0,5.0,5.0,7.0,4.0,5.666666666666667,5.142857142857143,,5.0,0.0,2023,1,8,6,1
2023-01-09,Causeway Bay,5.0,4.333333333333333,24,0,5.0,5.0,5.0,5.0,5.0,5.285714285714286,,3.0,0.0,2023,1,9,0,0
2023-01-10,Causeway Bay,3.0,2.7916666666666665,24,1,5.0,5.0,5.0,5.0,5.0,5.285714285714286,,4.0,0.0,2023,1,10,1,0
2023-01-11,Causeway Bay,4.0,3.3333333333333335,24,0,3.0,5.0,5.0,5.0,4.333333333333333,5.0,,4.0,0.0,2023,1,11,2,0
2023-01-12,Causeway Bay,4.0,3.25,24,0,4.0,3.0,5.0,7.0,4.0,4.857142857142857,,4.0,0.0,2023,1,12,3,0
2023-01-13,Causeway Bay,4.0,3.0416666666666665,24,0,4.0,4.0,3.0,5.0,3.6666666666666665,4.428571428571429,,3.0,0.0,2023,1,13,4,0
