OBJECTID,ENGLISH_CATEGORY,中文類別,ENGLISH_NAME,中文名稱,ENGLISH_ADDRESS,中文地址,LONGITUDE,經度,LATITUDE,緯度,EASTING,坐標東,NORTHING,坐標北,TYPES_OF_AIR_QUALITY_MONITORING,空氣質素監測站類別,OPENING_HOURS,開放時間,TELEPHONE,聯絡電話,FAX_NUMBER,傳真號碼,EMAIL_ADDRESS,電郵地址,WEBSITE,網頁,StationName
1,Air Quality Monitoring Network of Hong Kong,香港空氣質素監測網絡,Eastern Air Quality Monitoring Station,東區空氣質素監測站,"Sai Wan Ho Fire Station, 20 Wai Hang Street, Eastern, Hong Kong",香港東區惠亨街20號西灣河消防局,114-13-10,114-13-10,22-16-58,22-16-58,840647.6,840647.6,816001.2,816001.2,GENERAL MONITORING STATION,一般監測站,,,,,,,,,http://www.aqhi.gov.hk/en/monitoring-network/air-quality-monitoring-stationse1a6.html?stationid=73,http://www.aqhi.gov.hk/tc/monitoring-network/air-quality-monitoring-stationse1a6.html?stationid=73,Eastern
2,Air Quality Monitoring Network of Hong Kong,香港空氣質素監測網絡,Tuen Mun Air Quality Monitoring Station,屯門空氣質素監測站,"Tuen Mun Public Library, 1 Tuen Hi Road, Tuen Mun, N.T.",新界屯門屯喜路1號屯門公共圖書館,113-58-36,113-58-36,22-23-28,22-23-28,815657.6,815657.6,828002.2,828002.2,GENERAL MONITORING STATION,一般監測站,,,,,,,,,http://www.aqhi.gov.hk/en/monitoring-network/air-quality-monitoring-stations537c.html?stationid=82,http://www.aqhi.gov.hk/tc/monitoring-network/air-quality-monitoring-stations537c.html?stationid=82,Tuen Mun
3,Air Quality Monitoring Network of Hong Kong,香港空氣質素監測網絡,Tung Chung Air Quality Monitoring Station,東涌空氣質素監測站,"Tung Chung Health Centre , 6 Fu Tung Street, Tung Chung, New Territories",新界東涌富東街6號東涌健康院,113-56-37,113-56-37,22-17-20,22-17-20,812234.7,812234.7,816683.9,816683.9,GENERAL MONITORING STATION,一般監測站,,,,,,,,,http://www.aqhi.gov.hk/en/monitoring-network/air-quality-monitoring-stationsf322.html?stationid=78,http://www.aqhi.gov.hk/tc/monitoring-network/air-quality-monitoring-stationsf322.html?stationid=78,Tung Chung
4,Air Quality Monitoring Network of Hong Kong,香港空氣質素監測網絡,Mong Kok Air Quality Monitoring Station,旺角空氣質素監測站,"Junction of Nathan Road and Lai Chi Kok Road, Mong Kok, Kowloon",九龍旺角彌敦道與荔枝角道交界,114-10-6,114-10-6,22-19-21,22-19-21,835381.7,835381.7,820399.6,820399.6,ROADSIDE MONITORING STATION,路邊監測站,,,,,,,,,http://www.aqhi.gov.hk/en/monitoring-network/air-quality-monitoring-stations9c57.html?stationid=81,http://www.aqhi.gov.hk/tc/monitoring-network/air-quality-monitoring-stations9c57.html?stationid=81,Mong Kok
5,Air Quality Monitoring Network of Hong Kong,香港空氣質素監測網絡,Central Air Quality Monitoring Station,中環空氣質素監測站,"Junction of Chater Road and Des Voeux Road Central, Central, Hong Kong",香港中環遮打道與德輔道中交界,114-9-29,114-9-29,22-16-55,22-16-55,834336,834336,815882.1,815882.1,ROADSIDE MONITORING STATION,路邊監測站,,,,,,,,,http://www.aqhi.gov.hk/en/monitoring-network/air-quality-monitoring-stationsf9dd.html?stationid=79,http://www.aqhi.gov.hk/tc/monitoring-network/air-quality-monitoring-stationsf9dd.html?stationid=79,Central
6,Air Quality Monitoring Network of Hong Kong,香港空氣質素監測網絡,Tap Mun Air Quality Monitoring Station,塔門空氣質素監測站,Tap Mun Police Post,塔門警崗,114-21-39,114-21-39,22-28-17,22-28-17,855188.8,855188.8,836878.2,836878.2,GENERAL MONITORING STATION,一般監測站,,,,,,,,,http://www.aqhi.gov.hk/en/monitoring-network/air-quality-monitoring-stations233a.html?stationid=76,http://www.aqhi.gov.hk/tc/monitoring-network/air-quality-monitoring-stations233a.html?stationid=76,Tap Mun
7,Air Quality Monitoring Network of Hong Kong,香港空氣質素監測網絡,Causeway Bay Air Quality Monitoring Station,銅鑼灣空氣質素監測站,"1 Yee Wo Street, Causeway Bay, Hong Kong",香港銅鑼灣怡和街1號,114-11-6,114-11-6,22-16-48,22-16-48,837114.7,837114.7,815695.8,815695.8,ROADSIDE MONITORING STATION,路邊監測站,,,,,,,,,http://www.aqhi.gov.hk/en/monitoring-network/air-quality-monitoring-stations5ca5.html?stationid=71,http://www.aqhi.gov.hk/tc/monitoring-network/air-quality-monitoring-stations5ca5.html?stationid=71,Causeway Bay
8,Air Quality Monitoring Network of Hong Kong,香港空氣質素監測網絡,Tseung Kwan O Air Quality Monitoring Station,將軍澳空氣質素監測站,"Tseung Kwan O Sports Centre, 9 Wan Lung Road, Tseung Kwan O, Sai Kung",西貢將軍澳運隆路9號將軍澳體育館,114-15-34,114-15-34,22-19-4,22-19-4,844787.3,844787.3,819851.7,819851.7,GENERAL MONITORING STATION,一般監測站,,,,,,,,,http://www.aqhi.gov.hk/en/monitoring-network/air-quality-monitoring-stations0b35.html?stationid=83,http://www.aqhi.gov.hk/tc/monitoring-network/air-quality-monitoring-stations0b35.html?stationid=83,Tseung Kwan O
9,Air Quality Monitoring Network of Hong Kong,香港空氣質素監測網絡,Sham Shui Po Air Quality Monitoring Station,深水埗空氣質素監測站,"Sham Shui Po Police Station, 37A Yen Chow Street, Sham Shui Po, Kowloon",九龍深水埗欽州街37號A深水埗警署,114-9-33,114-9-33,22-19-49,22-19-49,834437.8,834437.8,821242.9,821242.9,GENERAL MONITORING STATION,一般監測站,,,,,,,,,http://www.aqhi.gov.hk/en/monitoring-network/air-quality-monitoring-stationsdb46.html?stationid=66,http://www.aqhi.gov.hk/tc/monitoring-network/air-quality-monitoring-stationsdb46.html?stationid=66,Sham Shui Po
10,Air Quality Monitoring Network of Hong Kong,香港空氣質素監測網絡,Kwai Chung Air Quality Monitoring Station,葵涌空氣質素監測站,"Kwai Chung Police Station, 999 Kwai Chung Road, Kwai Chung, New Territories",新界葵涌葵涌道999號葵涌警署,114-7-47,114-7-47,22-21-26,22-21-26,831398.8,831398.8,824219.9,824219.9,GENERAL MONITORING STATION,一般監測站,,,,,,,,,http://www.aqhi.gov.hk/en/monitoring-network/air-quality-monitoring-stations30e8.html?stationid=72,http://www.aqhi.gov.hk/tc/monitoring-network/air-quality-monitoring-stations30e8.html?stationid=72,Kwai Chung
